rank,title,artist,year,preview_url
50,Harbor Lights,The Platters,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/22/55/3d/22553d4a-0005-5387-3192-dc3ad96053e1/mzaf_16725302870300165258.plus.aac.p.m4a
51,Let the Little Girl Dance,Billy Bland,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/81/a9/01/81a90199-3a97-e61b-774c-6d4850708ca2/mzaf_17498898840622818144.plus.aac.p.m4a
52,He'll Have to Stay,Jeanne Black,1960,
53,Theme from The Apartment,Ferrante & Teicher,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/af/c7/b8/afc7b898-201f-c7c9-f0f7-43ae570c543b/mzaf_15006729223833037261.plus.aac.p.m4a
54,Volare,Bobby Rydell,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/7d/68/37/7d683790-add6-807e-0807-3265d37c9da3/mzaf_8692726390800488384.plus.aac.p.m4a
55,A Million to One,Jimmy Charles,1960,
56,The Village of St. Bernadette,Andy Williams,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/80/58/aa/8058aae5-daee-350e-b0d6-5a826bc2a194/mzaf_2247418845166354459.plus.aac.p.m4a
57,White Silver Sands,Bill Black's Combo,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/38/46/36/38463605-fb13-368a-370a-17e56a4dcf59/mzaf_12823305465155948432.plus.aac.p.m4a
58,The Old Lamp-Lighter,The Browns,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/7d/cf/99/7dcf9976-7a9c-a0d8-69a6-738763f4707f/mzaf_2733822825975013680.plus.aac.p.m4a
59,Devil or Angel,Bobby Vee,1960,
60,Down by the Station,The Four Preps,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/d1/b5/f7/d1b5f747-afa4-d4d2-dd52-8183191cbe5e/mzaf_4555564637515179506.plus.aac.p.m4a
61,Forever,The Little Dippers,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/3f/9c/e3/3f9ce3f3-b223-7618-8121-d2926a6a5f1d/mzaf_10926961081300159575.plus.aac.p.m4a
62,Image of a Girl,The Safaris & The Phantom's Band,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/36/11/8e/36118e6c-cfac-3596-c76d-ee575ba7607e/mzaf_13299935210895615145.plus.aac.p.m4a
63,Kiddio,Brook Benton,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/aa/53/63/aa53630c-3f41-6620-81b9-f491fc8fbbae/mzaf_10478121672712706247.plus.aac.p.m4a
64,Mission Bell,Donnie Brooks,1960,
65,I Love the Way You Love,Marv Johnson,1960,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/d1/37/39/d13739d7-a421-15a5-29af-9a36d4894e9c/mzaf_8311889382511556605.plus.aac.p.m4a
66,It's Time to Cry,Paul Anka,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/bc/73/0b/bc730b53-d55b-aa27-4b38-6f88f91dfce5/mzaf_14192796354121653376.plus.aac.p.m4a
67,Tell Laura I Love Her,Ray Peterson,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/16/dd/52/16dd52a8-5f7d-aae0-92b1-af2714b8a1de/mzaf_1027747999176967158.plus.aac.p.m4a
68,Mama,Connie Francis,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/3f/bd/19/3fbd1981-d6f2-71c1-1af5-401adebc8570/mzaf_1034101920502044111.plus.aac.p.m4a
69,Footsteps,Steve Lawrence,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/3f/94/91/3f94913b-200f-f15a-87ce-be4caae2cfc8/mzaf_1051200467645559337.plus.aac.p.m4a
70,So Sad,The Everly Brothers,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/1a/c5/f8/1ac5f805-cbd6-1050-1453-7f1b3f88edee/mzaf_5059974513640852181.plus.aac.p.m4a
71,That's All You Gotta Do,Brenda Lee,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/fe/d4/0f/fed40fc4-08cd-5d43-7e57-5017339e3f51/mzaf_6507601046647467710.plus.aac.p.m4a
72,Walking to New Orleans,Fats Domino,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/9a/3a/5a/9a3a5ae8-7e27-85f9-ed50-ee9b6848a4bc/mzaf_526826190220064840.plus.aac.p.m4a
73,Among My Souvenirs,Connie Francis,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a8/76/ee/a876eec4-df8c-824b-a886-1c38f931b16d/mzaf_4525424584871236682.plus.aac.p.m4a
74,Swingin' School,Bobby Rydell,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/9e/8b/04/9e8b0483-6f4a-2b25-e10f-cc6a3eb183a3/mzaf_3385252208295792399.plus.aac.p.m4a
75,A Rockin' Good Way (To Mess Around and Fall in Love),Dinah Washington & Brook Benton,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/86/e4/d9/86e4d9f3-3e6b-35fb-2abd-bdb6f5985132/mzaf_12059357479437938859.plus.aac.p.m4a
76,Stairway to Heaven,Neil Sedaka,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d5/21/ab/d521abec-6f0e-e179-2b45-1e752171fcab/mzaf_1211149893282138674.plus.aac.p.m4a
77,My Home Town,Paul Anka,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ce/2f/07/ce2f076a-7ffb-518f-31d5-7cc81cbaa451/mzaf_17564904227530494893.plus.aac.p.m4a
78,Georgia on My Mind,Ray Charles,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/ab/d3/fe/abd3fe00-6d46-7f86-d89c-10a77de35dd8/mzaf_2038679635085430257.plus.aac.p.m4a
79,Cherry Pie,Skip and Flip,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/26/97/4b/26974bea-9d1c-07a9-1325-62c7d5da49f1/mzaf_1650836567930299139.plus.aac.p.m4a
80,Wonderful World,Sam Cooke,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/13/07/63/130763e0-ad0d-a762-4e0b-b730f7127749/mzaf_9729368994746464948.plus.aac.p.m4a
81,Tracy's Theme,Spencer Ross,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/9c/fe/a4/9cfea413-270c-c72e-08f0-1fe504da9a18/mzaf_15016500013417308141.plus.aac.p.m4a
82,Lady Luck,Lloyd Price,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f3/7d/fd/f37dfdb7-3a59-902d-1d9f-69ce70927bf2/mzaf_17428048685778678499.plus.aac.p.m4a
83,Step by Step,The Crests,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/2a/94/ab/2a94ab7e-fc14-bebb-1c28-8cf967b02637/mzaf_9759004853191179542.plus.aac.p.m4a
84,Happy-Go-Lucky Me,Paul Evans,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/5a/60/0a/5a600a8b-319c-adeb-91eb-c4cd1137f9b9/mzaf_11033609176295027497.plus.aac.p.m4a
85,Young Emotions,Ricky Nelson,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/63/c3/56/63c3569e-9554-284e-9b8c-f599a1ede6db/mzaf_3192910980903744159.plus.aac.p.m4a
86,Dreamin',Johnny Burnette,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/4f/ed/33/4fed3395-0ef8-6d78-a6b7-f442e0a1de88/mzaf_17261689523236643590.plus.aac.p.m4a
87,Poetry in Motion,Johnny Tillotson,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e1/9c/66/e19c660c-595b-4d2a-e4e2-bcf967ad3b61/mzaf_6040821296858454429.plus.aac.p.m4a
88,O Dio Mio,Annette Funicello,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/01/da/ab/01daab89-5337-df9e-fb04-925c7c20b196/mzaf_2462602742605464599.plus.aac.p.m4a
89,You Talk Too Much,Joe Jones,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/76/21/bc/7621bce4-b96e-c682-b1e1-ac92d527b5b2/mzaf_5969107656577299066.plus.aac.p.m4a
90,Beatnik Fly,Johnny and the Hurricanes,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ec/77/e8/ec77e85a-e839-2d68-8936-10b92353c48d/mzaf_7042327311576452986.plus.aac.p.m4a
91,When Will I Be Loved,The Everly Brothers,1960,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/88/49/9b/88499bc1-531b-cd78-5bbe-35d39c55a475/mzaf_8851486353078333695.plus.aac.p.m4a
92,Let's Think About Living,Bob Luman,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/7c/73/ec/7c73ec66-13a0-25f2-9816-edd1824b20f7/mzaf_4758856701808093332.plus.aac.p.m4a
93,Heartaches by the Number,Guy Mitchell,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b1/fd/18/b1fd185d-1dce-59ca-bc86-552fe67c467b/mzaf_17443480411608289318.plus.aac.p.m4a
94,My Little Corner of the World,Anita Bryant,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/86/ce/da/86cedaab-63e7-7ad3-5aaa-0a700c0fc7dc/mzaf_16938879050787941923.plus.aac.p.m4a
95,Doggin' Around,Jackie Wilson,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/4e/22/56/4e2256f5-945a-a8ed-8405-f47581178ace/mzaf_8705205257611271916.plus.aac.p.m4a
96,Little Bitty Girl,Bobby Rydell,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/93/e2/0e/93e20ecc-2ff7-a40a-a8ee-beecb5dcf598/mzaf_15394216202930420466.plus.aac.p.m4a
97,Money (That's What I Want),Barrett Strong,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/d7/94/df/d794df73-6d31-63f3-cd31-2146cb92073b/mzaf_2064812151327074107.plus.aac.p.m4a
98,Stay,Maurice Williams and the Zodiacs,1960,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c4/3a/69/c43a692f-b3b6-09e0-8a12-e7ce07ca74f6/mzaf_12688586185440160299.plus.aac.p.m4a
