rank,title,artist,year,preview_url
92,Man on Your Mind,Little River Band,1982,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/49/a8/2e/49a82ec4-2781-082e-1377-96534fe59e62/mzaf_5334082713232452998.plus.aac.p.m4a
93,What's Forever For,Michael Murphey,1982,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b4/e6/85/b4e6858d-d8bf-ef28-01fa-44b4edbafe4c/mzaf_4841937143282219618.plus.aac.p.m4a
94,Waiting on a Friend,The Rolling Stones,1982,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/28/de/ec/28deec45-6f91-1614-ea82-247e982065a3/mzaf_13509858111608178998.plus.aac.p.m4a
95,Do I Do,Stevie Wonder,1982,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/62/14/b4/6214b4aa-9cf2-f47c-dd1f-7e77d94bd52c/mzaf_3119965469440168584.plus.aac.p.m4a
96,Working for the Weekend,Loverboy,1982,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/fd/47/a7/fd47a749-ee62-c0d2-d8eb-e500b22a4e2f/mzaf_13589616878837191878.plus.aac.p.m4a
97,Goin' Down,Greg Guidry,1982,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/98/49/98/984998bf-3e9a-1825-5fce-cd4f08941692/mzaf_1883518542151293978.plus.aac.p.m4a
98,Arthur's Theme (Best That You Can Do),Christopher Cross,1982,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/f2/a0/02/f2a00232-f872-5fb5-95d7-8df907786e8f/mzaf_5324549469160807951.plus.aac.p.m4a
99,Through the Years,Kenny Rogers,1982,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b1/68/01/b16801dd-7bef-4cad-82d1-c91af72f4b33/mzaf_6767270539344198521.plus.aac.p.m4a
100,Edge of Seventeen,Stevie Nicks,1982,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f2/5b/e3/f25be355-642f-6b6e-2fe4-d996bf292e31/mzaf_4950912764696176153.plus.aac.p.m4a
1,Every Breath You Take,The Police,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/1e/5f/4d/1e5f4de4-93a9-4a49-29ea-8fbf10c1266e/mzaf_6127834695826512099.plus.aac.p.m4a
2,Billie Jean,Michael Jackson,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/4f/ec/3e/4fec3ef8-c17c-394d-3573-a0a2aabd8889/mzaf_12729007880218988606.plus.aac.p.m4a
3,Flashdance... What a Feeling,Irene Cara,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/f6/21/46/f621465e-5e80-098a-ba9f-bf1b5c6d889d/mzaf_951228877242740365.plus.aac.p.m4a
4,Down Under,Men at Work,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/7b/e5/b7/7be5b73c-cb0e-0b7b-dc35-7ff69ba81538/mzaf_8388132050292377155.plus.aac.p.m4a
5,Beat It,Michael Jackson,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/53/df/b7/53dfb78b-270d-731f-df1d-79ddc8d06b25/mzaf_24126853876427821.plus.aac.p.m4a
6,Total Eclipse of the Heart,Bonnie Tyler,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/87/7a/c3/877ac3a0-e653-0be6-c8e4-34e78baef375/mzaf_11387494032794350505.plus.aac.p.m4a
7,Maneater,Hall & Oates,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/86/76/7e/86767edd-01bf-76ab-25b4-42774725d85b/mzaf_12956579700494364981.plus.aac.p.m4a
8,"Baby, Come to Me",Patti Austin and James Ingram,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a9/1a/42/a91a429d-d4b5-98ec-d5dc-d0937602a7e9/mzaf_8225527998351651787.plus.aac.p.m4a
9,Maniac,Michael Sembello,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/7b/75/5c/7b755c59-27dc-4b91-e78e-98e92ff1d5a4/mzaf_5285432537436567032.plus.aac.p.m4a
10,Sweet Dreams (Are Made of This),Eurythmics,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5e/bc/83/5ebc830f-a02a-bd72-bf6c-fa618736baac/mzaf_8003566137565840758.plus.aac.p.m4a
11,Do You Really Want to Hurt Me,Culture Club,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/59/d9/cb/59d9cbc9-ffc3-7983-3961-cde2782e7e46/mzaf_11054350061583764681.plus.aac.p.m4a
12,You and I,Eddie Rabbitt and Crystal Gayle,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/fa/69/39/fa693991-5335-778c-e9c8-1925249994a6/mzaf_3656914314918402652.plus.aac.p.m4a
13,Come On Eileen,Dexys Midnight Runners,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/4c/3a/e5/4c3ae535-ee68-7c7c-a998-85a077d6a9d2/mzaf_3310936843656351064.plus.aac.p.m4a
14,Shame on the Moon,Bob Seger & The Silver Bullet Band,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b4/88/6b/b4886b3e-7dc1-d2be-92dd-f449c704ffc8/mzaf_11092878917416581627.plus.aac.p.m4a
15,She Works Hard for the Money,Donna Summer,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/bb/79/b0/bb79b085-16e9-aff6-20ef-34f10bdc6e06/mzaf_11924409363891337946.plus.aac.p.m4a
16,Never Gonna Let You Go,S�rgio Mendes,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/96/6b/4f/966b4f69-e301-8ce5-8d64-4319dabd3233/mzaf_12164895290972813284.plus.aac.p.m4a
17,Hungry Like the Wolf,Duran Duran,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/2f/33/62/2f3362be-7acb-9b81-745f-688bdc114d9c/mzaf_7792286726533746491.plus.aac.p.m4a
18,Let's Dance,David Bowie,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/2c/67/c5/2c67c512-857d-984b-b2dc-5215e34657fd/mzaf_15729449033968090751.plus.aac.p.m4a
19,Twilight Zone,Golden Earring,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/4d/82/a5/4d82a5a1-e66d-69aa-e2b9-e83caf83b134/mzaf_4652410629627330287.plus.aac.p.m4a
20,I Know There's Something Going On,Frida,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ae/94/a7/ae94a7f1-8af8-6876-282b-92e0e4ce8bd0/mzaf_6973787390642478389.plus.aac.p.m4a
21,Jeopardy,The Greg Kihn Band,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/4d/32/34/4d3234a4-ed0a-d039-2f41-569a76eee9d7/mzaf_1974617125604315221.plus.aac.p.m4a
22,Electric Avenue,Eddy Grant,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a5/35/f3/a535f38a-706f-1b39-2460-35f8511f9754/mzaf_3775494181029372204.plus.aac.p.m4a
23,She Blinded Me with Science,Thomas Dolby,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/a9/be/e1/a9bee187-b4f5-ab91-de91-97386dd319af/mzaf_2279667210133147691.plus.aac.p.m4a
24,Africa,Toto,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/12/e5/ba/12e5ba45-05c1-7060-25a8-c9b718e7f6e8/mzaf_4488601364870711408.plus.aac.p.m4a
25,Little Red Corvette,Prince,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/4a/b9/ef/4ab9efaa-e0ec-83e9-671f-2ec78e28b5b0/mzaf_335697310004704253.plus.aac.p.m4a
26,Back on the Chain Gang,The Pretenders,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/97/83/cd/9783cd92-02a0-ce81-582f-bc9f04a6ffb9/mzaf_10225468994691717858.plus.aac.p.m4a
27,Up Where We Belong,Joe Cocker and Jennifer Warnes,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/e6/eb/50/e6eb5009-14b2-df87-ef19-567b2cdcf40e/mzaf_7584162782589764764.plus.aac.p.m4a
28,Mr. Roboto,Styx,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/d3/a3/c3/d3a3c38d-5ac5-900b-2879-b90a304461c6/mzaf_11631637446505129091.plus.aac.p.m4a
29,You Are,Lionel Richie,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ec/32/63/ec326338-c449-6d77-2389-8d1ef6e5ccd3/mzaf_12612215681161575329.plus.aac.p.m4a
30,Der Kommissar,After the Fire,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/06/c0/bf/06c0bf84-b6b5-2423-4ecf-d08b093220fa/mzaf_16159940669567330597.plus.aac.p.m4a
31,Puttin' on the Ritz,Taco,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/8f/6c/ed/8f6cede1-7163-7a4a-5ac8-781a8c7951ba/mzaf_14843653264887434682.plus.aac.p.m4a
32,Sexual Healing,Marvin Gaye,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/1c/84/69/1c84692c-6d85-4979-1740-26c878f4d889/mzaf_18199194771199235711.plus.aac.p.m4a
33,(Keep Feeling) Fascination,The Human League,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/66/13/8c/66138c7e-312a-7e7a-f215-f0117f8afa35/mzaf_18032765945558008991.plus.aac.p.m4a
34,Time (Clock of the Heart),Culture Club,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/22/66/94/226694d4-8f9f-b21b-cd43-61a10f846530/mzaf_4167507617125816576.plus.aac.p.m4a
35,The Safety Dance,Men Without Hats,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/56/14/14/5614144c-c988-5e4a-45d7-3d8b7a7c1640/mzaf_13926298539452225908.plus.aac.p.m4a
36,Mickey,Toni Basil,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/38/ed/e0/38ede0fc-100a-8d54-c2d8-e5dc8b419fbc/mzaf_9943723260099469362.plus.aac.p.m4a
37,You Can't Hurry Love,Phil Collins,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/75/bc/f2/75bcf217-b76b-0033-4a01-aa8c195161bb/mzaf_12238092689024116833.plus.aac.p.m4a
38,Separate Ways (Worlds Apart),Journey,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/a1/d0/47/a1d04749-621b-c117-3791-f8cc61f1f677/mzaf_10925686221374562657.plus.aac.p.m4a
39,One on One,Hall & Oates,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/29/fb/4d/29fb4d28-94f2-6274-7b12-b37bde010628/mzaf_223728833198663072.plus.aac.p.m4a
40,We've Got Tonight,Kenny Rogers and Sheena Easton,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/8d/68/bd/8d68bdf3-1911-b013-fbe1-9bdcefae72e2/mzaf_15571981687098854486.plus.aac.p.m4a
41,1999,Prince,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/c1/41/6d/c1416d6d-a13c-db25-e446-83e3e9d1e35a/mzaf_13376008185115736920.plus.aac.p.m4a
42,Stray Cat Strut,Stray Cats,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/c9/de/23/c9de2398-6136-ec24-52ae-4a1a96b08cc5/mzaf_3839913940912810500.plus.aac.p.m4a
43,Allentown,Billy Joel,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/3f/16/37/3f1637c7-57ea-b3e8-164d-97067563c392/mzaf_595820834758725363.plus.aac.p.m4a
44,Stand Back,Stevie Nicks,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/19/4f/8f/194f8fef-8da8-af52-c9cf-15ee059f8457/mzaf_1282556048338822512.plus.aac.p.m4a
45,Tell Her About It,Billy Joel,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/47/1b/43/471b4383-6a14-829e-0948-fdcbd2c7d099/mzaf_5106213999568651119.plus.aac.p.m4a
46,Always Something There to Remind Me,Naked Eyes,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/18/ea/5c/18ea5c96-9526-bfba-7996-b538afc11cb1/mzaf_14690970813696631236.plus.aac.p.m4a
47,Truly,Lionel Richie,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/76/88/7b/76887ba7-00e4-07be-accb-5be58860aa13/mzaf_4974753101283240523.plus.aac.p.m4a
48,Dirty Laundry,Don Henley,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/42/ca/58/42ca5871-6ec3-183e-f648-db00a374f396/mzaf_8221303343003070253.plus.aac.p.m4a
49,The Girl Is Mine,Michael Jackson and Paul McCartney,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/75/b3/e2/75b3e26c-0edf-59e1-da54-143c7a14ef66/mzaf_12980553324754978999.plus.aac.p.m4a
50,Too Shy,Kajagoogoo,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/23/24/fa/2324fa86-389f-be74-7062-8a4be52162c4/mzaf_16591157106448104323.plus.aac.p.m4a
51,Goody Two-Shoes,Adam Ant,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/15/4f/be/154fbe11-e98b-d65e-e933-fb03516b2dfc/mzaf_3769504448482768076.plus.aac.p.m4a
52,Rock the Casbah,The Clash,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/7b/b7/3e/7bb73e01-14df-cba7-02b6-022c81cff2bf/mzaf_12717529128874889229.plus.aac.p.m4a
53,Our House,Madness,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ac/db/43/acdb4367-e154-75e0-3d12-f0de08706280/mzaf_17785734139697904866.plus.aac.p.m4a
54,Overkill,Men at Work,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/fe/ad/32/fead3266-2dee-f6e0-3845-d873ea15258d/mzaf_13996962734188906487.plus.aac.p.m4a
55,Is There Something I Should Know?,Duran Duran,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f8/d3/04/f8d30409-6a67-cb62-26fa-be28688cefb7/mzaf_4250357970804688524.plus.aac.p.m4a
56,Gloria,Laura Branigan,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/cc/d6/c0/ccd6c01e-3a52-6dd8-cd50-af356744b489/mzaf_16636436101529786179.plus.aac.p.m4a
57,Affair of the Heart,Rick Springfield,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/56/74/d8/5674d8a0-9d6a-39cf-7b0d-57f95ffc42cb/mzaf_17475455667970221516.plus.aac.p.m4a
58,She's a Beauty,The Tubes,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ed/c1/0b/edc10b94-7b84-b5ad-f749-2f5c49434790/mzaf_497157834346110996.plus.aac.p.m4a
59,Solitaire,Laura Branigan,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/96/cc/ae/96ccaea6-bf06-1bd9-4947-2d053cf68c1b/mzaf_8216555673201875174.plus.aac.p.m4a
60,Don't Let It End,Styx,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/47/39/a2/4739a293-b20f-809a-09b3-ccf0c829114e/mzaf_5202497429760885699.plus.aac.p.m4a
61,How Am I Supposed to Live Without You,Laura Branigan,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c5/9c/69/c59c6927-4e1a-8ce1-2463-a1e3d10117f0/mzaf_11401261912174901772.plus.aac.p.m4a
62,China Girl,David Bowie,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/99/17/ee/9917ee27-d486-cc77-a747-21a8f4c6e045/mzaf_9758161612665387376.plus.aac.p.m4a
63,Come Dancing,The Kinks,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e6/08/f5/e608f542-8fec-21c2-07ed-5fcfe914d921/mzaf_5532994445970304589.plus.aac.p.m4a
64,"Promises, Promises",Naked Eyes,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/02/e2/34/02e234da-a9e5-d771-1c52-1215800b4dd1/mzaf_17944663081904587524.plus.aac.p.m4a
65,The Other Guy,Little River Band,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/7a/d1/7a/7ad17a92-5c1e-f952-f460-0537237a6a66/mzaf_6128951702330653079.plus.aac.p.m4a
66,Making Love Out of Nothing at All,Air Supply,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/00/c1/4a/00c14ad7-f179-3fed-7a1f-d13c075a7a89/mzaf_12039957746949987077.plus.aac.p.m4a
67,Family Man,Hall & Oates,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/eb/52/7c/eb527c29-a52c-ac4c-17b9-64d0a806d0d7/mzaf_7602314508746738953.plus.aac.p.m4a
68,Wanna Be Startin' Somethin',Michael Jackson,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/c2/76/ff/c276ffaa-ffaa-ec97-e753-31dab7b124ec/mzaf_12819456541834310391.plus.aac.p.m4a
69,I Won't Hold You Back,Toto,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/5a/91/45/5a914511-b19b-40e9-8dbb-3f898d9d11a3/mzaf_8480632349225828396.plus.aac.p.m4a
70,All Right,Christopher Cross,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/53/88/4c/53884c2b-b13f-fe41-d284-e691a46d00d6/mzaf_9152838420632382940.plus.aac.p.m4a
71,Straight from the Heart,Bryan Adams,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/01/c9/03/01c90342-7fb3-b772-4cf0-9c07e730a4b4/mzaf_1230747008188202122.plus.aac.p.m4a
72,Heart to Heart,Kenny Loggins,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/52/df/b7/52dfb73c-9258-a883-f202-2be0afa70454/mzaf_14216920467041278768.plus.aac.p.m4a
73,My Love,Lionel Richie,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/4c/bb/65/4cbb65ee-47ae-6f5c-afc1-8a84375f2c7c/mzaf_7899319629313731692.plus.aac.p.m4a
74,I'm Still Standing,Elton John,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b1/20/15/b1201590-f22c-5564-d286-6c2ea1d96e67/mzaf_8102486191964669376.plus.aac.p.m4a
75,Hot Girls in Love,Loverboy,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/71/81/b8/7181b8f7-0fae-b363-d24d-b00e1613ff01/mzaf_3242791798343204113.plus.aac.p.m4a
76,It's a Mistake,Men at Work,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b5/d2/a1/b5d2a161-468e-8a7c-dee2-1105a0cae9a8/mzaf_7914046071550225118.plus.aac.p.m4a
77,I'll Tumble 4 Ya,Culture Club,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/8a/f5/db/8af5db96-c075-579d-4cd5-b664cdf68a80/mzaf_7585948223397027937.plus.aac.p.m4a
78,All This Love,DeBarge,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/bb/03/27/bb0327cf-7877-a215-fe08-998767c978c5/mzaf_6950876622539696684.plus.aac.p.m4a
79,Your Love Is Driving Me Crazy,Sammy Hagar,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/62/95/00/629500e8-9412-7796-ce3d-c628187d736f/mzaf_12795876731064161116.plus.aac.p.m4a
80,Heartbreaker,Dionne Warwick,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f1/e2/b9/f1e2b93e-7f92-aec0-3f75-dc03977dd9e4/mzaf_5129758844588751003.plus.aac.p.m4a
81,Faithfully,Journey,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/7e/68/eb/7e68eb32-250b-9fc7-7894-4053344acc41/mzaf_13951334332308889067.plus.aac.p.m4a
82,Steppin' Out,Joe Jackson,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/7b/ec/63/7bec635e-b618-28dd-a14d-4f33d6c88d5f/mzaf_6194189278780579254.plus.aac.p.m4a
83,Take Me to Heart,Quarterflash,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/56/ca/8c/56ca8c66-890d-4082-4fcc-7ba714efad7a/mzaf_3973729757466419336.plus.aac.p.m4a
84,(She's) Sexy + 17,Stray Cats,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/3d/96/fb/3d96fb96-568d-8cec-5b08-5daafc25f5f6/mzaf_11452094044561127684.plus.aac.p.m4a
85,Try Again,Champaign,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/78/fb/2e/78fb2e14-eb4f-1d18-d9e1-d28104a5a79e/mzaf_10455218084046638579.plus.aac.p.m4a
86,Dead Giveaway,Shalamar,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d1/6d/44/d16d4409-ac14-e1b2-9131-547a9e91f662/mzaf_9056619590811709658.plus.aac.p.m4a
87,Lawyers in Love,Jackson Browne,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/ad/30/7c/ad307cf3-1829-01f4-5d99-c1fdc89465d7/mzaf_735798099762475877.plus.aac.p.m4a
88,What About Me,Moving Pictures,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b9/de/d3/b9ded3d1-0885-5c50-5f1c-a1659def7c42/mzaf_14562860158528042254.plus.aac.p.m4a
89,Human Nature,Michael Jackson,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/5d/29/4a/5d294a9b-cf16-5d75-5d15-64abeb72ed26/mzaf_1487833623706589694.plus.aac.p.m4a
90,Photograph,Def Leppard,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/a7/bc/fb/a7bcfb35-17aa-d00a-2cdb-217196ea80d7/mzaf_6543872327211176322.plus.aac.p.m4a
91,Pass the Dutchie,Musical Youth,1983,https://audio-ssl.itunes.apple.com/itunes-assets/Music/e7/74/99/mzm.jnkximwx.aac.p.m4a
92,True,Spandau Ballet,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/d0/be/54/d0be54c5-f666-30c3-81a7-0a6f775786de/mzaf_532647001053865546.plus.aac.p.m4a
93,Far from Over,Frank Stallone,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/63/75/71/637571fd-9278-745e-7afb-3005bb36af5a/mzaf_2069751190824017035.plus.aac.p.m4a
94,I've Got a Rock 'n' Roll Heart,Eric Clapton,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/3a/43/0e/3a430e1e-195d-528b-15b5-82a1e7dc0f52/mzaf_6859765108082451807.plus.aac.p.m4a
95,It Might Be You,Stephen Bishop,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/c2/c4/eb/c2c4eb16-b23d-aa80-3d93-943f6070d27f/mzaf_7419382654889494984.plus.aac.p.m4a
96,"Tonight, I Celebrate My Love",Peabo Bryson and Roberta Flack,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/23/b9/bf/23b9bf47-434c-4293-2b56-2660cf0ad33d/mzaf_17478580588051165101.plus.aac.p.m4a
97,You Got Lucky,Tom Petty and the Heartbreakers,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/46/82/54/468254eb-635a-3887-1325-ec004d5c0438/mzaf_16893663722416986988.plus.aac.p.m4a
98,Don't Cry,Asia,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/99/8d/69/998d6939-3c09-cb93-63cc-b5a0bc7b444d/mzaf_4417947186442009754.plus.aac.p.m4a
99,Breaking Us in Two,Joe Jackson,1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/a2/ea/88/a2ea8852-c7d8-532c-b725-6b8e4b9ae05d/mzaf_9828902663141541260.plus.aac.p.m4a
100,Fall in Love with Me,"Earth, Wind & Fire",1983,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a5/0b/07/a50b07cf-f08d-4803-5dd2-5d1e9c2b8571/mzaf_6797910771982113150.plus.aac.p.m4a
1,When Doves Cry,Prince,1984,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/af/69/ce/af69ce77-1f71-735a-5120-968e5a614250/mzaf_15878932899821738837.plus.aac.p.m4a
2,What's Love Got to Do with It,Tina Turner,1984,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/94/92/1b/94921b87-1c13-ae72-bba4-663a72a874f2/mzaf_17567891297805242636.plus.aac.p.m4a
3,Say Say Say,Paul McCartney and Michael Jackson,1984,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/33/f1/80/33f1805f-4ea1-48bc-ba88-fe3369dc4500/mzaf_10164852935258196313.plus.aac.p.m4a
4,Footloose,Kenny Loggins,1984,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/87/d3/c2/87d3c24f-39fc-8fda-f17d-8dd540a044d1/mzaf_6649855132296668843.plus.aac.p.m4a
5,Against All Odds (Take a Look at Me Now),Phil Collins,1984,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/6a/87/46/6a8746b4-cb2a-d7cb-5db7-f9cf6364dc87/mzaf_2874214947129522107.plus.aac.p.m4a
6,Jump,Van Halen,1984,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/0e/4c/31/0e4c3159-8266-46a4-17f7-efe256a2dfaf/mzaf_4758712311488063940.plus.aac.p.m4a
7,Hello,Lionel Richie,1984,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/8d/56/e7/8d56e752-b74e-c221-3420-e8519b6b9ef9/mzaf_4490664065602258202.plus.aac.p.m4a
8,Owner of a Lonely Heart,Yes,1984,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/ae/22/5d/ae225d70-6202-d22f-42bd-1c3fefbf266b/mzaf_2733482964380615676.plus.aac.p.m4a
9,Ghostbusters,Ray Parker Jr.,1984,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/3e/42/7e/3e427e4d-b513-08de-41c8-f7ce0a535ede/mzaf_6808147672154762031.plus.aac.p.m4a
10,Karma Chameleon,Culture Club,1984,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/71/ce/0f/71ce0f41-b6f4-d3b7-8f3f-dc861d6dbba6/mzaf_13911435614762015968.plus.aac.p.m4a
